model	train-spearman_corr	train-spearman_pvalue	train-pearson_corr	train-pearson_pvalue	train-f1_score	train-f1_scores_label1	train-f1_scores_label0	test.iov-spearman_corr	test.iov-spearman_pvalue	test.iov-pearson_corr	test.iov-pearson_pvalue	test.iov-f1_score	test.iov-f1_scores_label1	test.iov-f1_scores_label0	test.oov-spearman_corr	test.oov-spearman_pvalue	test.oov-pearson_corr	test.oov-pearson_pvalue	test.oov-f1_score	test.oov-f1_scores_label1	test.oov-f1_scores_label0	dev-spearman_corr	dev-spearman_pvalue	dev-pearson_corr	dev-pearson_pvalue	dev-f1_score	dev-f1_scores_label1	dev-f1_scores_label0	thr
distiluse-base-multilingual-cased-v2	0.473	0.0	0.482	0.0	0.41472354275752676	0.26146592370338617	0.6251903415270829	0.497	0.0	0.516	0.0	0.42912636975583	0.2375809935205183	0.6549364613880744	0.618	0.0	0.617	0.0	0.41965537590430935	0.1958997722095672	0.6672950047125352	0.509	0.0	0.521	0.0	0.4133927798519967	0.1646746347941567	0.6742620403935785	0.716
distiluse-base-multilingual-cased-v2_mask	0.599	0.0	0.607	0.0	0.7294106942302744	0.687893864013267	0.7596424010217113	0.665	0.0	0.659	0.0	0.7673585232735323	0.7496382054992764	0.7823899371069183	0.738	0.0	0.729	0.0	0.7893603609382683	0.7787114845938375	0.7989821882951653	0.651	0.0	0.655	0.0	0.7600915945492569	0.7564296520423601	0.7635829662261381	0.716
multi-qa-MiniLM-L6-dot-v1	0.404	0.0	0.416	0.0	0.5215210026408688	0.43581206067332595	0.6392240359593092	0.432	0.0	0.46	0.0	0.5325956782303406	0.4135338345864661	0.6729559748427674	0.321	0.0	0.358	0.0	0.5230965630664978	0.39399624765478425	0.6659772492244054	0.383	0.0	0.406	0.0	0.5413741713346011	0.4	0.6896551724137931	0.338
multi-qa-MiniLM-L6-dot-v1_mask	0.483	0.0	0.49	0.0	0.6652055424121877	0.6552132701421801	0.6724817107484524	0.549	0.0	0.555	0.0	0.6946417589392049	0.7057291666666667	0.6852367688022285	0.488	0.0	0.494	0.0	0.6641674867726753	0.6509695290858726	0.6760925449871467	0.471	0.0	0.491	0.0	0.6843516467807342	0.6932559825960841	0.6758620689655173	0.338
multi-qa-distilbert-dot-v1	0.427	0.0	0.442	0.0	0.46167449299311336	0.3388329979879276	0.63037120359955	0.462	0.0	0.483	0.0	0.47295760906009887	0.3114754098360656	0.6633266533066132	0.514	0.0	0.533	0.0	0.5415980922468446	0.41074856046065256	0.6864147088866189	0.416	0.0	0.439	0.0	0.5014995567890956	0.31894484412470026	0.692972972972973	0.606
multi-qa-distilbert-dot-v1_mask	0.558	0.0	0.566	0.0	0.6990839424524691	0.6761346094473601	0.7157951774586832	0.61	0.0	0.62	0.0	0.7068436565304623	0.7029972752043597	0.7101063829787235	0.664	0.0	0.663	0.0	0.7479824806276171	0.7341772151898734	0.7604562737642586	0.567	0.0	0.586	0.0	0.714641682108439	0.7100681302043906	0.719002201027146	0.606
multi-qa-mpnet-base-dot-v1	0.435	0.0	0.438	0.0	0.5196964579943303	0.4333333333333333	0.6382978723404256	0.484	0.0	0.502	0.0	0.5565530723531472	0.44935543278084716	0.6829268292682926	0.47	0.0	0.487	0.0	0.5786602219835303	0.49319727891156456	0.6732456140350876	0.437	0.0	0.456	0.0	0.564040722207904	0.4309031556039173	0.7036827195467422	0.512
multi-qa-mpnet-base-dot-v1_mask	0.572	0.0	0.573	0.0	0.7060233596808917	0.6777742848160956	0.7265937583355562	0.619	0.0	0.619	0.0	0.7163547578925326	0.7105624142661179	0.7212681638044913	0.63	0.0	0.635	0.0	0.7259803726816267	0.702467343976778	0.7472256473489519	0.619	0.0	0.627	0.0	0.7280129000830557	0.7282204020848845	0.7278150633855333	0.512
multi-qa-MiniLM-L6-cos-v1	0.449	0.0	0.46	0.0	0.4903224518034694	0.3819960861056751	0.6390857142857143	0.499	0.0	0.516	0.0	0.5059088120772022	0.36435643564356435	0.672782874617737	0.508	0.0	0.52	0.0	0.5188941944683415	0.377431906614786	0.6754563894523327	0.435	0.0	0.451	0.0	0.5249745027589415	0.3642611683848797	0.6935394809497515	0.637
multi-qa-MiniLM-L6-cos-v1_mask	0.609	0.0	0.613	0.0	0.7282926712108736	0.6838580040187543	0.7606490872210954	0.689	0.0	0.681	0.0	0.7647357167565773	0.748201438848921	0.7787610619469025	0.742	0.0	0.735	0.0	0.7829669673120009	0.7603550295857989	0.8033980582524273	0.64	0.0	0.643	0.0	0.747002474763312	0.7332808811959087	0.7600849256900212	0.637
multi-qa-distilbert-cos-v1	0.459	0.0	0.469	0.0	0.4853554397278248	0.37101910828025475	0.6423721140787687	0.516	0.0	0.529	0.0	0.48258381209333556	0.32586558044806524	0.6673366834170854	0.561	0.0	0.577	0.0	0.5865988463271395	0.4767225325884544	0.7082035306334372	0.435	0.0	0.454	0.0	0.5191392093567488	0.3526682134570766	0.6937431394072447	0.645
multi-qa-distilbert-cos-v1_mask	0.625	0.0	0.622	0.0	0.7346332783585177	0.6984334203655352	0.7609932747025349	0.681	0.0	0.673	0.0	0.7634325571286953	0.7478510028653295	0.7766497461928934	0.763	0.0	0.76	0.0	0.7961088053707366	0.7731343283582088	0.8168674698795181	0.648	0.0	0.654	0.0	0.740535572862013	0.7302325581395349	0.7503586800573888	0.645
multi-qa-mpnet-base-cos-v1	0.462	0.0	0.465	0.0	0.5189566817525605	0.42646502835538747	0.6459743290548425	0.52	0.0	0.537	0.0	0.5573934444708063	0.445692883895131	0.6890756302521008	0.555	0.0	0.569	0.0	0.6023397400390017	0.5088967971530248	0.7057569296375267	0.441	0.0	0.462	0.0	0.5571116213541274	0.41931942919868276	0.7016356457980822	0.627
multi-qa-mpnet-base-cos-v1_mask	0.624	0.0	0.626	0.0	0.7277522339634139	0.6908023483365948	0.7546583850931676	0.665	0.0	0.665	0.0	0.7460497265446895	0.7334273624823696	0.7567567567567568	0.735	0.0	0.732	0.0	0.7789037037037038	0.7555555555555556	0.7999999999999999	0.656	0.0	0.661	0.0	0.7414638738684813	0.737320211960636	0.7454145267791636	0.627
msmarco-distilbert-base-tas-b	0.359	0.0	0.368	0.0	0.4644886013835201	0.3451574332403348	0.6283646233883737	0.403	0.0	0.422	0.0	0.4954933756302911	0.348	0.6693711967545639	0.505	0.0	0.516	0.0	0.5117862219396173	0.3562753036437247	0.6838966202783301	0.36	0.0	0.372	0.0	0.5024153835139332	0.32304038004750596	0.6905537459283387	0.205
msmarco-distilbert-base-tas-b_mask	0.532	0.0	0.538	0.0	0.6810723732533789	0.6522826766729206	0.702036441586281	0.628	0.0	0.617	0.0	0.7270743961667677	0.7222982216142271	0.7311258278145696	0.71	0.0	0.703	0.0	0.7601503160052383	0.7527472527472527	0.7668393782383419	0.579	0.0	0.586	0.0	0.718360887712871	0.7132018209408194	0.7232796486090776	0.205
msmarco-distilbert-dot-v5	0.397	0.0	0.4	0.0	0.48364683916062595	0.3743649863227823	0.6337222603523222	0.454	0.0	0.462	0.0	0.5161023706274143	0.3837209302325581	0.6721649484536083	0.556	0.0	0.566	0.0	0.5736038902937171	0.45660377358490556	0.7030927835051546	0.34	0.0	0.352	0.0	0.4932773404698691	0.3120567375886525	0.6833514689880306	0.242
msmarco-distilbert-dot-v5_mask	0.6	0.0	0.609	0.0	0.7293069503023685	0.68371467025572	0.7625063163213743	0.656	0.0	0.649	0.0	0.7378483701001859	0.7194244604316546	0.7534766118836914	0.732	0.0	0.727	0.0	0.7847279954022247	0.7656477438136826	0.8019680196801968	0.604	0.0	0.602	0.0	0.7350934629646684	0.7211311861743912	0.7484053862508859	0.242
msmarco-bert-base-dot-v5	0.368	0.0	0.376	0.0	0.4549437922107264	0.32874493927125503	0.6282511210762333	0.401	0.0	0.414	0.0	0.4784873109582882	0.32113821138211385	0.6639839034205232	0.5	0.0	0.517	0.0	0.4878747830664331	0.31223628691983124	0.682261208576998	0.335	0.0	0.349	0.0	0.4652970451444165	0.26108374384236455	0.6794871794871794	0.115
msmarco-bert-base-dot-v5_mask	0.605	0.0	0.614	0.0	0.7224548350733517	0.6877623506619309	0.7477171927993739	0.628	0.0	0.622	0.0	0.7379878131016637	0.7249647390691115	0.7490347490347491	0.735	0.0	0.73	0.0	0.7814267806267805	0.7722222222222221	0.7897435897435896	0.628	0.0	0.626	0.0	0.7526426702530937	0.7492447129909366	0.7558823529411766	0.115
msmarco-MiniLM-L6-cos-v5	0.39	0.0	0.392	0.0	0.4438782565197223	0.31425091352009743	0.6218938885157824	0.441	0.0	0.455	0.0	0.47199766736154597	0.3108384458077709	0.6619859578736209	0.447	0.0	0.472	0.0	0.5450449983130905	0.41015625	0.6943319838056681	0.353	0.0	0.366	0.0	0.4807220264449819	0.2853658536585366	0.6856223175965664	0.718
msmarco-MiniLM-L6-cos-v5_mask	0.532	0.0	0.546	0.0	0.6746325497606923	0.6582202111613876	0.6865836791147995	0.599	0.0	0.602	0.0	0.7032913960473559	0.7097625329815302	0.6978021978021979	0.637	0.0	0.639	0.0	0.7385883695714204	0.7231638418079096	0.7525252525252526	0.574	0.0	0.579	0.0	0.7201363237212964	0.7284576393917451	0.7122026093630085	0.718
msmarco-MiniLM-L12-cos-v5	0.368	0.0	0.368	0.0	0.5057078460649824	0.4166048925129726	0.6280718336483931	0.425	0.0	0.435	0.0	0.5299143079387337	0.40684410646387836	0.675	0.428	0.0	0.459	0.0	0.5951146916788717	0.49547920433996384	0.7053854276663146	0.338	0.0	0.348	0.0	0.563402534784808	0.440713536201469	0.6920854997111496	0.664
msmarco-MiniLM-L12-cos-v5_mask	0.547	0.0	0.562	0.0	0.7017765964867558	0.6499830909705783	0.7394915680845708	0.592	0.0	0.604	0.0	0.7102134928175391	0.6795827123695977	0.736196319018405	0.667	0.0	0.659	0.0	0.7347634972973787	0.6992366412213741	0.7668639053254438	0.593	0.0	0.603	0.0	0.7184131845815626	0.7005559968228753	0.735438596491228	0.664
msmarco-distilbert-cos-v5	0.359	0.0	0.358	0.0	0.4535898543437538	0.32671260640453986	0.6278288146986333	0.415	0.0	0.427	0.0	0.4850780019725263	0.3333333333333333	0.6639676113360324	0.479	0.0	0.495	0.0	0.5492958241758242	0.4228571428571428	0.6892307692307693	0.355	0.0	0.366	0.0	0.5047269287270442	0.3325581395348837	0.6853070175438598	0.7
msmarco-distilbert-cos-v5_mask	0.589	0.0	0.591	0.0	0.7100395057373269	0.6823751178133836	0.7301841473178542	0.636	0.0	0.634	0.0	0.7271398141849569	0.7207702888583218	0.7325428194993412	0.718	0.0	0.704	0.0	0.7755963415593423	0.7579250720461095	0.7915632754342432	0.618	0.0	0.618	0.0	0.7369642892650378	0.7367636092468307	0.7371556217423677	0.7
pigiModelDropout02	0.823	0.0	0.814	0.0	0.83922023714676	0.8390638543773477	0.8394349956759873	0.723	0.0	0.713	0.0	0.7144391928695655	0.6830015313935681	0.751500600240096	0.697	0.0	0.686	0.0	0.6636297940170544	0.5983193277310925	0.7359116022099447	0.654	0.0	0.649	0.0	0.6782248514998626	0.6023622047244094	0.7577937649880097	0.432
pigiModelDropout02_mask	0.822	0.0	0.813	0.0	0.9173117664673657	0.9064327485380117	0.9252336448598131	0.736	0.0	0.727	0.0	0.7876914982195999	0.7762039660056657	0.7974358974358974	0.739	0.0	0.73	0.0	0.7853776898639335	0.7611940298507464	0.8072289156626506	0.723	0.0	0.717	0.0	0.8061624785438105	0.8088235294117647	0.8036253776435046	0.432
pigiModel	0.823	0.0	0.814	0.0	0.83922023714676	0.8390638543773477	0.8394349956759873	0.723	0.0	0.713	0.0	0.7144391928695655	0.6830015313935681	0.751500600240096	0.697	0.0	0.686	0.0	0.6636297940170544	0.5983193277310925	0.7359116022099447	0.654	0.0	0.649	0.0	0.6782248514998626	0.6023622047244094	0.7577937649880097	0.432
pigiModel_mask	0.822	0.0	0.813	0.0	0.9173117664673657	0.9064327485380117	0.9252336448598131	0.736	0.0	0.727	0.0	0.7876914982195999	0.7762039660056657	0.7974358974358974	0.739	0.0	0.73	0.0	0.7853776898639335	0.7611940298507464	0.8072289156626506	0.723	0.0	0.717	0.0	0.8061624785438105	0.8088235294117647	0.8036253776435046	0.432
pierluigic/xl-lexeme	0.142	0.0	0.081	0.0	0.5678582659628052	0.67105561861521	0.42613861386138613	0.206	0.0	0.181	0.0	0.5526650628527487	0.6484118291347207	0.4397905759162304	0.085	0.02	0.044	0.225	0.487840551771409	0.655378486055777	0.30241935483870963	0.155	0.0	0.108	0.0	0.5147442233347725	0.6551525618883132	0.36747624076029567	0.029
pierluigic/xl-lexeme_mask	0.342	0.0	0.298	0.0	0.6107991465610825	0.5873402312842362	0.6278814489571899	0.407	0.0	0.353	0.0	0.6451976689264534	0.6353591160220995	0.6535433070866141	0.43	0.0	0.39	0.0	0.6594317887305063	0.6330935251798561	0.6832298136645963	0.335	0.0	0.232	0.0	0.6147829767383917	0.6133133881824981	0.6161841128433556	0.029
